skill,count,%jobs,pct_total,pct_con_skills
sql,86,5.29,5.3,33.1
power bi,68,4.18,4.2,26.2
excel,39,2.4,2.4,15.0
python,30,1.85,1.8,11.5
r,25,1.54,1.5,9.6
tableau,24,1.48,1.5,9.2
git,23,1.41,1.4,8.8
etl,20,1.23,1.2,7.7
snowflake,19,1.17,1.2,7.3
azure,16,0.98,1.0,6.2
machine learning,11,0.68,0.7,4.2
looker,8,0.49,0.5,3.1
spark,7,0.43,0.4,2.7
aws,6,0.37,0.4,2.3
data modeling,5,0.31,0.3,1.9
statistics,4,0.25,0.2,1.5
bigquery,4,0.25,0.2,1.5
dbt,3,0.18,0.2,1.2
jira,3,0.18,0.2,1.2
github,2,0.12,0.1,0.8
