title,country,description,source,date,salary_monthly_usd,seniority
Data Analyst - Data Analyst I,us,"Job: 3033642 Job Description: Data Analyst - Data Analyst I Location: Austin, Texas (Onsite) Employment Type: Contract Role Overview This position supports effective decision-making through economic, financial, and market analysis of critical issues. The role involves capacity planning, price and cost modeling, and evaluating returns on investment. The Data Analyst will also assist with capacity forecasting, budgeting, and reporting for operating expenses, capital, and resource allocation, whil…",adzuna,2026-05-07,5192.14,Not Specified
Data Analyst,us,"Job Description 45-50/hr Insight Global is hiring for a Data Analyst to sit onsite in Stamford for their Spectrum Business organization. This team is responsible for the data analytics & reporting for small and medium businesses. This data analyst will be joining a team of 3 responsible for: - gathering business requirements via email, WebEx, and stakeholder meeting - translating requirements into data-driven reporting solutions - Build and maintain reports and dashboards in Tableau - Write and…",adzuna,2026-05-20,7834.42,Not Specified
Data Analyst,us,"Summary Job title: Data Analyst Job ID: null Department: Omaha - RES Location: null-null Description Summary: Data Analysts are responsible for driving profitability and market share growth by managing and setting sell prices, analyzing costs, and forecasting demand. This role involves close collaboration with various teams including inside sales, outside sellers, operations, and management to develop and implement strategic pricing initiatives. The Data Analysts is also expected to work with v…",adzuna,2026-04-16,7016.61,Not Specified
Data Analyst,us,"Our client, a leading organization in the industry, is seeking a Data Analyst to join their team. As a Data Analyst, you will be part of the Talent & Culture support team, contributing to data-driven decision-making processes. The ideal candidate will demonstrate analytical thinking, effective communication, and a proactive approach, which will align successfully within the organization. Job Title: Data Analyst Location: Remote(PST) Contract on W2 What's the Job?  Manage data analytics projects…",adzuna,2026-05-13,15433.96,Senior
Data Analyst,us,"We have an outstanding Contract position for aData Analystto join a leading Company located in theHuntsville, ALsurrounding area. US Citizenship is required. Candidate must possess an Active Top Secret/SCI Security Clearance. The Quantitative Data Analyst helps with the interpretation, implementation, analysis and visualization of large amounts of data within OCIO into more readable formats for personnel and our partners within the organization cybersecurity environment. The data analyst utiliz…",adzuna,2026-05-19,9600.97,Senior
Data Analyst,us,"Description Healthcare Data Analyst We're seeking a Data Analyst to join a healthcare company and help drive improved patient outcomes through data-driven insights. In this role, you will analyze clinical and operational data to identify trends, support quality improvement initiatives, and enhance overall care delivery. Key Responsibilities:  Develop and maintain reports and interactive dashboards  Analyze patient, quality, and operational data to identify opportunities for improvements Qualifi…",adzuna,2026-05-07,5884.32,Not Specified
Data Analyst,us,"Job Title: Data Analyst - Motorsport Racing AnalyticsJob Description This Data Analyst role focuses on motorsport racing analytics, telemetry analysis, and AI-assisted workflows that directly influence racecar performance. You will work with both live and historical racing data to build dashboards, validate data quality, support training and evaluation workflows, and monitor the performance of automated AI systems used for transcription, summarization, and analysis. You will collaborate closely…",adzuna,2026-05-23,6498.67,Not Specified
Data Analyst,us,"Job Title: Data Analyst Job Category: Information Technology Time Type: Full time Minimum Clearance Required to Start: None Employee Type: Regular Percentage of Travel Required: None Type of Travel: None * * * The Opportunity: CACI is seeking a Data Analyst to support one of their FEMA programs. In this role you will be supporting a team with reporting, analytics and data visualization activities that drive performance and quality of programs and projects across an IT delivery organization. Res…",adzuna,2026-05-14,9035.96,Not Specified
Data Analyst,us,"Overview The Data Analyst identifies and develops opportunities to leverage data from enterprise systems to support compliance activities, detect emerging trends in payment collections and taxpayer behaviors, and recommend systemic solutions. This role is responsible for designing and executing analytical approaches, documenting methodologies and results, and validating models to ensure they are robust, accurate, and ready for transition to appropriate organizational functions for operational u…",adzuna,2026-05-13,9682.51,Not Specified
Data Analyst,us,"Technology is at the heart of Disney's past, present, and future. Disney Entertainment and ESPN Product & Technology is a global organization of engineers, product developers, designers, technologists, data scientists, and more - all working to build and advance the technological backbone for Disney's media business globally. The team marries technology with creativity to build world-class products, enhance storytelling, and drive velocity, innovation, and scalability for our businesses. We are…",adzuna,2026-05-22,11181.08,Not Specified
Data Analyst,us,"Worker Type Regular Job Description Summary The Data Analyst will support to conceive, develop, mature, maintain, and transition novel and innovative FMI applications, capabilities, tradecraft, and insight from large and complex data. They will will leverage data science and modeling, data discovery, collection, curation, and enrichment, software engineering, and spatiotemporal technologies and methods for event detection and validation of I&W methodologies. Position Responsibilities  Innovativ…",adzuna,2026-02-17,13874.22,Not Specified
Data Analyst,us,"Company Summary EchoStar is reimagining the future of connectivity. Our business reach spans satellite television service, live-streaming and on-demand programming, smart home installation services, mobile plans and products. Today, our brands include Boost Mobile, DISH TV, Gen Mobile, Hughes and Sling TV. Department Summary The In-Home Services Corporate team is devoted to supporting thousands of talented employees in delivering the industry's best products and solutions. Constantly refining o…",adzuna,2026-04-22,9461.06,Not Specified
Data Analyst,us,"Responsibilities Noblis is seeking an experienced Data Management and Automation Analyst to work in dynamic mission-oriented environment within Bethesda, Maryland. Job Responsibilities:  Improving operational efficiency by designing and implementing automated workflows that enhance how data is managed, accessed, and maintained.  Streamlining manual processes, reducing redundancy, and ensuring consistency across systems through automation tools and solutions.  Working closely with stakeholders t…",adzuna,2026-05-23,10206.77,Not Specified
Data Analyst,us,"_What Data Analytics contributes to Cardinal Health_ The Data & Analytics Function oversees the analytics life-cycle in order to identify, analyze and present relevant insights that drive business decisions and anticipate opportunities to achieve a competitive advantage. This function manages analytic data platforms, the access, design and implementation of reporting/business intelligence solutions, and the application of advanced quantitative modeling. Data Analytics applies business process k…",adzuna,2026-05-14,12307.16,Not Specified
Data Analyst,us,"Pay range: $30 - 40 Plus Health , Dental, Vision, Short Term/Long Term Disability, and Group Life pending eligibility (Minimum qualifications): - 3 years of experience in analysis, information science, data visualization, or other relevant quantitative field preferred - Intermediate SQL knowledge familiar with aggregating, joins, timestamps, subqueries, data transformation - Strong problem solving and analytical skills - Excellent communication skills, both verbal and written, with ability to p…",adzuna,2026-04-10,7281.2,Not Specified
Data Analyst,us,"$35-$40 per hour Atlanta, GA Contract Duration: 12 - Months Contract with Possible Extension Job Description: Responsibilities:  Partner with operational team to translate business requests into data driven results and recommendations  Develop complex SQL queries to extract and transform data from multiple data sources  Identify trends, patterns, and insights from data sets to understand drivers of performance  Perform validation of data results to ensure data accuracy and integrity  Produce ac…",adzuna,2026-04-10,6820.45,Not Specified
Data Analyst,us,"JOB TITLE: Data Analyst JOB LOCATION: Quincy, MA 3 days on site WAGE RANGE*: 40 - 49/ hour JOB NUMBER:231164 REQUIRED EXPERIENCE: Requirements An online portfolio with examples with nonconfidential data that demonstrates your analysis skills Advanced experience with Microsoft Power BI, DAX, Power Query, M, ETL, Python, PySpark, SQL, key focus on performance optimization of DAX. Preferred Qualifications Microsoft Certifications for any of the following: Power BI Data Analyst Associate (PL-300), …",adzuna,2026-04-22,8780.85,Not Specified
Data Analyst,us,"Job Number: R0239936 Data Analyst The Opportunity: As data analyst, you love diving into data and turning it into meaningful insights. With the abundance of structured and unstructured data, you understand the importance of transforming complex data sets into useful information to solve challenges. As a data analyst at Booz Allen, you can use your skills and experience to support a mission and use data for good. We need a data analyst like you to bring your knowledge to the Navy. As a client-fa…",adzuna,2026-05-15,9679.28,Not Specified
Data Analyst,us,"Software Guidance & Assistance, Inc., (SGA), is searching for a Data Analyst for a CONTRACT assignment with one of our premier Regulatory clients in the DMV area. The Data Analyst prepares department statistical reports, conducts ad hoc reporting, assists staff with department computer applications and completes special projects. This is a basic-level professional position in which the individual will perform assigned roles, develop job-related skills, and will work under limited supervision. R…",adzuna,2026-04-14,3620.78,Not Specified
Data Analyst,us,"9th Way Insignia is a service-disabled, veteran-owned small business bringing transformative technology to our government customers so they can achieve their missions. Our specialties include cybersecurity, cloud modernization, software development, data analytics, enterprise architecture, enterprise IT, analytics, process automation, and artificial intelligence. Learn more about 9th Way Insignia at Application password: Niner 9th Way Insignia is seeking a Data Analyst to support a government c…",adzuna,2026-05-15,11401.78,Not Specified
Data Analyst,us,"GovCIO is currently hiring fora Data Analyst to support Headquarters Air Force A2 with the design and implementation of a Zero Trust architecture. This position will be located at Langley AFB in Hampton, VAand will be anonsiteposition. Responsibilities The Zero Trust Program supporting Headquarters Air Force A2 seeks a highly skilled Data Analyst to drive analytics, automation, and data-driven decision-making across a large-scale cybersecurity modernization effort. This role is central to advan…",adzuna,2026-05-27,12434.29,Not Specified
Data Analyst,us,"Data Analyst / Report Developer Lake Forest, IL Hybrid role (Onsite 3x/week) $30-$35 per hour ABOUT THE ROLE Join as a Data Analyst / Report Developer (Label Conversion) and play a key role in a large-scale label conversion and standardization initiative, impacting approximately 400 labels across multiple product lines. This project, extending into 2026-2027, is critical to ensuring consistency, accuracy, and scalability of label data within a global manufacturing environment. You will work ons…",adzuna,2026-05-06,5386.75,Not Specified
Data Analyst,us,"RESPONSIBILITIES: Kforce's client in Chicago, IL is seeking a detail-oriented Data Analyst with a finance background and hands-on experience working with utility invoices and large, complex datasets. This role supports utility & sustainability accuracy, cost optimization, and data-driven decision-making across utility spend and related sustainability initiatives. Experience with sustainability, energy management, or ESG reporting is preferred. REQUIREMENTS: * Bachelor's degree in Finance, Accou…",adzuna,2026-05-21,8649.84,Not Specified
Data analyst,us,job summary: Enterprise Healthcare client has an immediate opening for a highly motivated Data analyst to join their dynamic and growing team. All qualified candidates are encouraged to apply! location: Telecommute job type: Contract salary: $25 - 35 per hour work hours: 8am to 5pm education: Bachelors responsibilities: 11. What are the top 5-10 responsibilities for this position (please be detailed as to what the candidate is expected to do or complete on a daily basis)? Collaborate with Optum…,adzuna,2026-05-13,3672.64,Not Specified
Data Analyst,us,"Data Analyst Alexandria, VA Join our Talent Network Data Analyst Alexandria, VA Are you ready to enhance your skills and build your career in a rapidly evolving business climate? Are you looking for a career where professional development is embedded in your employer's core culture? If so, Chenega Military, Intelligence & Operations Support (MIOS) could be the place for you! Join our team of professionals who support large-scale government operations by leveraging cutting-edge technology and ta…",adzuna,2026-03-27,5366.17,Not Specified
Data Analyst,us,"Overview The Data Analyst identifies and develops opportunities to leverage data from enterprise systems to support compliance activities, detect emerging trends in payment collections and taxpayer behaviors, and recommend systemic solutions. This role is responsible for designing and executing analytical approaches, documenting methodologies and results, and validating models to ensure they are robust, accurate, and ready for transition to appropriate organizational functions for operational u…",adzuna,2026-05-13,10122.44,Not Specified
Data Analyst,us,"Description: Hybrid 4 days onsite, 1 remote. in Greenwood Village, CO Our client seeks experienced Data Analysts to enable data-driven decision making and in-time health monitoring of WiFi products by building and deploying product and feature specific analytics capabilities. You will support product teams with the complex design, development, and implementation of automated reporting and dashboards. You will build complex ad hoc and automated reports and analytics that deliver robust insights …",adzuna,2026-05-27,7479.47,Not Specified
Data Analyst,us,"job summary: The Data Analyst / Test Validation Analyst is responsible for validating, reconciling, and analyzing complex financial and index-related data across multiple systems and projects simultaneously. This role requires advanced Microsoft Excel proficiency, strong attention to detail, and the ability to manage competing priorities in a fast-paced, project-driven environment. The analyst partners closely with internal stakeholders, vendors, and technology teams to support data migrations,…",adzuna,2026-05-26,6955.06,Junior
Data Analyst,us,"Job Title: Data Analyst Job Location: Remote Interview: Virtual Job Duration: 6 Months Contract Overview: We are seeking a Data Analyst with strong SQL and Python expertise to support data validation, data quality, and exploratory data analysis. This role focuses on ensuring data is accurate, reliable, and structured for downstream analytics and reporting. Note: This is not a Data Engineer role . Candidates must have a strong analytics and data validation background. Key Responsibilities Perfor…",adzuna,2026-04-28,10741.18,Not Specified
Data Analyst,us,"Role: Data Analyst Location: Hartford, CT (hybrid from Day 1) Duration: 12 Months Job description: Data Analyst with strong Snowflake expertise to support the team in validating, certifying, and ensuring data quality as part of the unified data fabric migration into Snowflake. Key Responsibilities Validate and certify data migrated from the unified data fabric into Snowflake Ensure data accuracy, completeness, and consistency across datasets Build and maintain data quality checks and monitoring…",adzuna,2026-05-22,8916.64,Not Specified
DATA ANALYST,us,"Data Analyst Finance (1 2 Years Experience) Company: AaraTech Inc About the Role AaraTech Inc is seeking a detail-oriented Data Analyst Finance to support financial reporting, analytics, and KPI tracking. This role involves analyzing financial datasets, building dashboards, and ensuring data accuracy. You will work closely with finance and business teams to support data-driven decision-making. Ideal for early-career professionals in financial analytics. Key Responsibilities Analyze financial an…",adzuna,2026-05-27,4939.26,Not Specified
Data Analyst,us,"Sevierville, TN | Data Analyst Power BI | Full-time We are actively recruiting a Data Analyst Power BI for our client in Sevierville, TN . This is a direct hire opportunity that will require 100% onsite work in Sevierville. This is an excellent opportunity to join a collaborative, growing data team and play a key role in business reporting and analytics. Must have hands-on experience building dashboards and reports in Power BI. Due to client request, candidates must be eligible to work in the U…",adzuna,2026-05-15,3549.13,Not Specified
Data analyst,us,"We are seeking a Data Analyst to perform complex data analysis, trend identification, and reporting to support strategic decision-making. If you love extracting data, building dashboards, and turning complex datasets into actionable insights, we want to hear from you! Role Details Position: Senior Research / Data Analyst Location: Atlanta, GA (30334) Work Arrangement: Hybrid (Must be local or willing to relocate; required on-site Day 1 for equipment pickup and drug testing). Interview Process: …",adzuna,2026-05-27,6526.21,Senior
Data Analyst,us,"Titile: Data Analyst Location: Dallas, TX Job Description: The Data Analyst identifies current market sector trends and customer patterns through statistical modeling and analytics. This job assists in examining and identifying data trends that help answer business questions and improve decision-making. Working under moderate supervision, this job collects data sources, analyzes data and extracts key information. This job helps monitor and evaluate data quality to meet the organization's inform…",adzuna,2026-05-03,7097.15,Not Specified
: Data Analyst,us,"Title: Data Analyst Location: Richmond, VA- Hybrid Duration: 12 Months Contract Experience required : 5 years Note: Hybrid working out of our HQ office (3 days in office, 2 days remotely) Description: We are searching for a Data Analyst reporting to our Policy & Planning department. Researches and analyses housing, economic and demographic conditions, and trends, as well as state, local and federal initiatives and policies impacting the programs and activities of Virginia Housing. Evaluates Vir…",adzuna,2026-03-30,9967.61,Not Specified
Data Analyst,us,"Job Title: Data Analyst Hybrid Candidate can work from any of the 3 locations Location: McLean, VA / Richmond, VA / Chicago, IL JD: Python SQL Snowflake Thanks, Akhil, akhil dot macharla atadventglobal dot com",adzuna,2026-05-27,6021.08,Not Specified
Data Analyst,us,"Data Analyst Corporate Headquarters 12575 Uline Dr. Pleasant Prairie, WI 53158 Ready to make a real impact? Join Uline as a Data Analyst to be a driver of operational excellence. From searching for improvements regarding manual processes to thinking critically about various issues, your skills will help shape our growing company's future! Careers Packed with Potential. Backed by 45 years of success, Uline offers opportunities to grow your career with stability you can count on. Position Respons…",adzuna,2026-05-07,5851.63,Not Specified
Data Analyst,us,"Job Title : Data Analyst Job Location: Remote Job Type : long term Contract Payrange : $40 - $45 Benefits for Eligible Employees - Health Insurance, Paid Time Off (PTO), Paid Holidays. About Edify Headquartered in Naperville, IL, we are a dynamic team with over two decades of industry expertise, dedicated to delivering robust business solutions, staff augmentation, and a comprehensive range of application and web services. As a former recipient of INC. Magazine''''s prestigious ''''5000 Fastest…",adzuna,2026-04-30,7761.56,Not Specified
Data Analyst,us,"NOT OPEN TO C2C, VISA SPONSORSHIP, or THIRD PARTIES MUST BE LOCATED IN PITTSBURGH, PA Job Title: Data Analyst (Hybrid – Pittsburgh, PA) We are seeking a detail-oriented Data Analyst to join our team on a direct hire basis in a hybrid role just north of downtown Pittsburgh, PA. In this position, you will play a key role in collecting, analyzing, and interpreting data to support business decisions, improve reporting accuracy, and uncover trends that drive operational performance. Key Responsibili…",adzuna,2026-05-13,6638.57,Not Specified
